126.773208333333,37.2393066666667,,,,,,,
126.773225,37.2393166666667,,,,,,,
126.773258333333,37.2393283333333,,,,,,,
126.773311666667,37.2393316666667,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,parking1,,,prev,,
,,,,126.773226666667,37.2393166666667,,126.773215,37.2393083333333
,,,,126.773236666667,37.2393216666667,,126.773231666667,37.2393183333333
,,,,126.773258333333,37.2393316666667,,126.773258333333,37.2393316666667
,,,,126.773311666667,37.239335,,126.773311666667,37.239335
,,,,,,,,
,,,parking2,,,,,
,,,,126.773235,37.2393366666667,,126.77323,37.2393366666667
,,,,126.773256666667,37.23935,,126.773255,37.2393516666667
,,,,126.773275,37.239355,,126.773275,37.2393516666667
,,,,126.773328333333,37.2393583333333,,126.773328333333,37.2393533333333
,,,,,,,,
,,,parking3,,,,,
,,,,126.77325,37.2393616666667,,126.773248333333,37.2393616666667
,,,,126.773273333333,37.2393733333333,,126.773273333333,37.239375
,,,,126.77329,37.2393783333333,,126.77329,37.2393733333333
,,,,126.773341666667,37.23938,,126.773343333333,37.2393766666667
,,,,,,,,
,,,parking4,,,,,
,,,,126.773271666667,37.239395,,,
,,,,126.77329,37.2394016666667,,,
,,,,126.773306666667,37.2394033333333,,,
,,,,126.773358333333,37.239405,,,
,,,,,,,,
,,,parking5,,,,,
,,,,126.77328,37.2394066666667,,,
,,,,126.773305,37.2394216666667,,,
,,,,126.773321666667,37.239425,,,
,,,,126.773375,37.2394266666667,,,
,,,,,,,,
,,,parking6,,,,,
,,,,126.773296666667,37.2394283333333,,,
,,,,126.77332,37.239445,,,
,,,,126.773336666667,37.2394483333333,,,
,,,,126.773385,37.2394516666667,,,
